DATE,target,population,income,gdp,unemployed_rate,mortgage_rate,emratio,permit,labor_percent,monthly_supply,house_st,msp_us,ppi_cement,ppi_concrete,all_const_emp,home_ow_rate,p_saving_rate,new_private_house,new_private_hw_under,uni_michi_sentiment
2020-02-22,20681.73014285714,834.5206896551724,62.793103448275865,1253.6206896551723,214.66134482758622,60.15862068965517,1349.2068965517242,3.4785714285714286,6.251724137931035,325342.85714285716,253.9,256.2344827586207,1373.3793103448277,18673.455172413793,331603.9310344828,11.175862068965518,66.84285714285714,92.38275862068966,1214.448275862069,4.151724137931035
2020-02-23,20662.02278021978,834.3931034482758,62.76896551724138,1252.7931034482758,214.72955172413793,60.11379310344827,1338.9310344827586,3.472857142857143,6.2827586206896555,325272.52747252746,253.9,256.35517241379307,1370.2068965517242,18661.44827586207,331607.6896551724,11.341379310344827,66.87252747252747,91.97241379310344,1214.5172413793102,4.182758620689656
2020-02-24,20642.315417582417,834.2655172413794,62.744827586206895,1251.9655172413793,214.79775862068965,60.06896551724138,1328.655172413793,3.4671428571428575,6.313793103448276,325202.1978021978,253.9,256.4758620689655,1367.0344827586207,18649.441379310345,331611.4482758621,11.506896551724138,66.9021978021978,91.56206896551724,1214.5862068965516,4.2137931034482765
2020-02-25,20622.608054945056,834.1379310344828,62.720689655172414,1251.1379310344828,214.86596551724136,60.02413793103448,1318.3793103448274,3.4614285714285717,6.344827586206897,325131.86813186813,253.9,256.5965517241379,1363.8620689655172,18637.43448275862,331615.2068965517,11.672413793103448,66.93186813186813,91.15172413793103,1214.655172413793,4.244827586206897
2020-02-26,20602.900692307692,834.0103448275862,62.69655172413793,1250.3103448275863,214.9341724137931,59.97931034482758,1308.103448275862,3.455714285714286,6.375862068965517,325061.53846153844,253.9,256.71724137931034,1360.6896551724137,18625.427586206897,331618.9655172414,11.837931034482759,66.96153846153847,90.74137931034483,1214.7241379310344,4.275862068965518
2020-02-27,20583.19332967033,833.8827586206896,62.67241379310345,1249.4827586206898,215.00237931034482,59.93448275862069,1297.8275862068965,3.45,6.406896551724138,324991.2087912088,253.9,256.8379310344827,1357.5172413793102,18613.420689655173,331622.724137931,12.00344827586207,66.99120879120879,90.33103448275861,1214.7931034482758,4.306896551724138
2020-02-28,20563.485967032968,833.7551724137932,62.648275862068964,1248.655172413793,215.07058620689654,59.88965517241379,1287.5517241379312,3.4271428571428575,6.437931034482759,324920.8791208791,253.9,256.95862068965516,1354.344827586207,18601.41379310345,331626.4827586207,12.168965517241379,67.02087912087912,89.92068965517241,1214.8620689655172,4.337931034482759
2020-02-29,20543.778604395604,833.6275862068966,62.62413793103448,1247.8275862068965,215.13879310344828,59.8448275862069,1277.2758620689656,3.4042857142857144,6.468965517241379,324850.5494505495,253.9,257.07931034482755,1351.1724137931035,18589.406896551725,331630.2413793103,12.334482758620691,67.05054945054945,89.5103448275862,1214.9310344827586,4.36896551724138
2020-03-01,20524.07124175824,833.5,62.6,1247.0,215.207,59.8,1267.0,3.3814285714285717,6.5,324780.2197802198,253.9,257.2,1348.0,18577.4,331634.0,12.5,67.08021978021978,89.1,1215.0,4.4
2020-03-02,20504.36387912088,829.4645161290323,62.51935483870968,1245.7096774193549,215.27303225806452,59.5258064516129,1255.967741935484,3.3585714285714285,6.512903225806451,324709.8901098901,254.00645161290322,257.21290322580643,1338.3870967741937,18647.51290322581,331635.6129032258,13.129032258064516,67.1098901098901,88.54193548387096,1214.2903225806451,4.732258064516129
2020-03-03,20484.656516483516,825.4290322580645,62.438709677419354,1244.4193548387098,215.339064516129,59.251612903225805,1244.9354838709678,3.335714285714286,6.525806451612903,324639.56043956045,254.11290322580646,257.22580645161287,1328.774193548387,18717.625806451615,331637.22580645164,13.758064516129032,67.13956043956044,87.98387096774194,1213.5806451612902,5.064516129032258
2020-03-04,20464.949153846155,821.3935483870968,62.35806451612903,1243.1290322580646,215.40509677419354,58.97741935483871,1233.9032258064517,3.3128571428571427,6.538709677419355,324569.23076923075,254.21935483870968,257.23870967741937,1319.1612903225807,18787.738709677422,331638.8387096774,14.387096774193548,67.16923076923077,87.4258064516129,1212.8709677419354,5.396774193548387
2020-03-05,20445.24179120879,817.358064516129,62.27741935483871,1241.8387096774193,215.47112903225806,58.70322580645161,1222.8709677419354,3.29,6.551612903225807,324498.9010989011,254.32580645161292,257.2516129032258,1309.5483870967741,18857.85161290323,331640.4516129032,15.016129032258064,67.1989010989011,86.86774193548386,1212.1612903225807,5.7290322580645165
2020-03-06,20425.534428571427,813.3225806451613,62.196774193548386,1240.5483870967741,215.5371612903226,58.42903225806452,1211.8387096774193,3.3,6.564516129032258,324428.5714285714,254.43225806451613,257.26451612903224,1299.9354838709678,18927.964516129035,331642.06451612903,15.64516129032258,67.22857142857143,86.30967741935483,1211.4516129032259,6.061290322580645
2020-03-07,20405.827065934067,809.2870967741935,62.116129032258065,1239.258064516129,215.60319354838708,58.15483870967741,1200.8064516129032,3.31,6.577419354838709,324358.2417582418,254.53870967741935,257.2774193548387,1290.3225806451612,18998.07741935484,331643.67741935485,16.274193548387096,67.25824175824175,85.7516129032258,1210.741935483871,6.393548387096774
2020-03-08,20386.119703296703,805.2516129032258,62.035483870967745,1237.967741935484,215.6692258064516,57.88064516129032,1189.774193548387,3.32,6.590322580645162,324287.9120879121,254.6451612903226,257.2903225806452,1280.7096774193549,19068.190322580645,331645.29032258067,16.903225806451612,67.28791208791209,85.19354838709677,1210.032258064516,6.725806451612904
